,title,release_year,runtime,genre,rating,metascore,gross(M)
583,"4 Months, 3 Weeks and 2 Days",2007,113,Drama,7.9,97,1.19
584,Jab We Met,2007,138,Comedy,7.9,0,0.41
584,Jab We Met,2007,138,Drama,7.9,0,0.41
584,Jab We Met,2007,138,Romance,7.9,0,0.41
585,Nine Queens,2000,114,Crime,7.9,80,1.22
585,Nine Queens,2000,114,Drama,7.9,80,1.22
585,Nine Queens,2000,114,Thriller,7.9,80,1.22
586,Beauty and the Beast,1946,93,Drama,7.9,92,0.3
586,Beauty and the Beast,1946,93,Fantasy,7.9,92,0.3
586,Beauty and the Beast,1946,93,Romance,7.9,92,0.3
587,Battleship Potemkin,1925,66,Drama,7.9,97,0.05
587,Battleship Potemkin,1925,66,History,7.9,97,0.05
587,Battleship Potemkin,1925,66,Thriller,7.9,97,0.05
