,title,release_year,runtime,genre,rating,metascore,gross(M)
445,"Black Cat, White Cat",1998,127,Comedy,8.0,73,0.35
445,"Black Cat, White Cat",1998,127,Crime,8.0,73,0.35
445,"Black Cat, White Cat",1998,127,Romance,8.0,73,0.35
446,Cries & Whispers,1972,91,Drama,8.0,0,1.74
447,Sleuth,1972,138,Mystery,8.0,0,4.08
447,Sleuth,1972,138,Thriller,8.0,0,4.08
448,"Quo Vadis, Aida?",2020,101,Drama,8.0,97,0.0
448,"Quo Vadis, Aida?",2020,101,History,8.0,97,0.0
448,"Quo Vadis, Aida?",2020,101,War,8.0,97,0.0
449,Ivan's Childhood,1962,95,Drama,8.0,0,0.0
449,Ivan's Childhood,1962,95,War,8.0,0,0.0
450,La strada,1954,108,Drama,8.0,0,0.0
451,Departures,2008,130,Drama,8.0,68,1.5
452,The Wild Pear Tree,2018,188,Drama,8.0,86,0.03
453,"Goodbye, Children",1987,104,Drama,8.0,88,4.54
453,"Goodbye, Children",1987,104,War,8.0,88,4.54
454,The Exterminating Angel,1962,95,Drama,8.0,0,0.0
454,The Exterminating Angel,1962,95,Fantasy,8.0,0,0.0
455,Kind Hearts and Coronets,1949,106,Comedy,8.0,0,0.0
455,Kind Hearts and Coronets,1949,106,Crime,8.0,0,0.0
456,Central Station,1998,110,Drama,8.0,80,5.6
457,"Spring, Summer, Fall, Winter... and Spring",2003,103,Drama,8.0,85,2.38
457,"Spring, Summer, Fall, Winter... and Spring",2003,103,Romance,8.0,85,2.38
458,Sanjuro,1962,96,Action,8.0,0,0.0
458,Sanjuro,1962,96,Drama,8.0,0,0.0
458,Sanjuro,1962,96,Thriller,8.0,0,0.0
459,Haider,2014,160,Action,8.0,0,0.9
459,Haider,2014,160,Crime,8.0,0,0.9
459,Haider,2014,160,Drama,8.0,0,0.9
460,The Shop Around the Corner,1940,99,Comedy,8.0,96,0.2
460,The Shop Around the Corner,1940,99,Drama,8.0,96,0.2
460,The Shop Around the Corner,1940,99,Romance,8.0,96,0.2
461,Elite Squad 2: The Enemy Within,2010,115,Action,8.0,71,0.1
461,Elite Squad 2: The Enemy Within,2010,115,Crime,8.0,71,0.1
461,Elite Squad 2: The Enemy Within,2010,115,Drama,8.0,71,0.1
462,M.S. Dhoni: The Untold Story,2016,184,Biography,8.0,0,1.78
462,M.S. Dhoni: The Untold Story,2016,184,Drama,8.0,0,1.78
462,M.S. Dhoni: The Untold Story,2016,184,Sport,8.0,0,1.78
463,Tae Guk Gi: The Brotherhood of War,2004,140,Action,8.0,64,1.11
